Машины марк;Үнэ;Моторын багтаамж;Хурдны хайрцаг;Хүрд;Төрөл;Өнгө;Үйлдвэрлэсэн он;Орж ирсэн он;Хөдөлгүүр;Дотор өнгө;Лизинг;Хаяг;Хөтлөгч;Явсан;Нөхцөл;Хаалга
Toyota Land Cruiser 105, 2007/2007;65 сая ₮;4.5 л;Механик;Зөв;Жийп;Цэнхэр;2007;2007;Бензин;Саарал;Лизинггүй;.;Бүх дугуй 4WD;1 км.;Дугаар авсан;5
Hyundai Grandeur, 2016/2021;31 сая ₮;2.4 л;Автомат;Зөв;Суудлын тэрэг;Хар;2016;2021;Бензин;Хар;Лизинггүй;Улаанбаатар;Урдаа FWD;110000 км.;Дугаар авсан;4
Toyota Harrier, 2008/2019;34 сая ₮;3.3 л;Автомат;Буруу;Жийп;Ногоон;2008;2019;Хайбрид;Хар;Лизинггүй;уб;Бүх дугуй 4WD;180000 км.;Дугаар авсан;5
Nissan Advan, 2014/2020;7.8 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2014;2020;Бензин;Саарал;Лизинггүй;УБ;Урдаа FWD;100000 км.;Дугаар авсан;5
Toyota Corolla, 2011/2011;5.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2011;2011;Бензин;Саарал;Лизинггүй;Darkhan;Урдаа FWD;1500000 км.;Дугаар авсан;5
Toyota Alphard, 2006/2017;17 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Ногоон;2006;2017;Хайбрид;Цагаан шар;Лизинггүй;улаанбаатар;Бүх дугуй 4WD;2000000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2011/2022;26.5 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2011;2022;Хайбрид;Саарал;Лизинггүй;cxd;Урдаа FWD;157000 км.;Дугаар авсан;5
Toyota Prius 30, 2012/2023;24.4 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2012;2023;Бензин;Хар;Лизинггүй;БГД;Урдаа FWD;199000 км.;Дугаар аваагүй;5
Hyundai Sonata, 1998/2008;1.5 сая ₮;1.8 л;Механик;Зөв;Суудлын тэрэг;Ногоон;1998;2008;Бензин;Хар;Лизинггүй;Жанжин клуб;Урдаа FWD;1111111 км.;Дугаар авсан;4
Toyota Harrier, 2006/2023;36.5 сая ₮;3.3 л;Автомат;Буруу;Жийп;Хар;2006;2023;Хайбрид;Хар;Лизинггүй;ulaanbaatar;Бүх дугуй 4WD;123456 км.;Дугаар авсан;4
Toyota Prius 30, 2011/2019;17 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2011;2019;Хайбрид;Саарал;Лизинггүй;Бзд, 41р хороо;Урдаа FWD;230000 км.;Дугаар авсан;5
